region_key,image,json_file,shape_idx,label,expected_sku,review_status,reviewer,notes,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_path,overlay_path,crop_exists,ocr_crop_suggestion,rotation_ocr_suggestions,ocr_count,ocr_texts,ocr_sources,accuracy_status,ocr_match,expected_sku_notes
1770339044281_0244_1026_07-019.jpg|Pallet_SKU|2407|935|2733|1013,1770339044281_0244_1026_07-019.jpg,1770339044281_0244_1026_07-019.json,0,Pallet_SKU,1004815592,reviewed,,,2407,935,2733,1013,research_outputs/golden_dataset_local_tests/crops/1770339044281_0244_1026_07-019/000_Pallet_SKU_2407_935_2733_1013.jpg,research_outputs/golden_dataset_local_tests/label_overlays_expected_sku/1770339044281_0244_1026_07-019_labels.jpg,yes,1004815592,-10.0:1004815592|-5.0:1004815592|0.0:1004815592|5.0:1004815592|10.0:1004815592|180.0:1004815592,1,1004815592,google_ocr_sku_parse,correct,yes,
1770339044281_0244_1026_07-019.jpg|Pallet_SKU|3516|867|3794|941,1770339044281_0244_1026_07-019.jpg,1770339044281_0244_1026_07-019.json,3,Pallet_SKU,1000035351,reviewed,,,3516,867,3794,941,research_outputs/golden_dataset_local_tests/crops/1770339044281_0244_1026_07-019/003_Pallet_SKU_3516_867_3794_941.jpg,research_outputs/golden_dataset_local_tests/label_overlays_expected_sku/1770339044281_0244_1026_07-019_labels.jpg,yes,1000035351,-10.0:1000035351|-5.0:1000035351|0.0:1000035351|5.0:1000035351|10.0:1000035351|180.0:1000035351,1,1000035351,google_ocr_sku_parse,correct,yes,
1770339044281_0244_1026_07-019.jpg|Pallet_SKU|2226|1852|2564|1954,1770339044281_0244_1026_07-019.jpg,1770339044281_0244_1026_07-019.json,4,Pallet_SKU,1001294717,reviewed,,,2226,1852,2564,1954,research_outputs/golden_dataset_local_tests/crops/1770339044281_0244_1026_07-019/004_Pallet_SKU_2226_1852_2564_1954.jpg,research_outputs/golden_dataset_local_tests/label_overlays_expected_sku/1770339044281_0244_1026_07-019_labels.jpg,yes,1001294717,-10.0:1001294717|-5.0:1001294717|0.0:1001294717|5.0:1001294717|10.0:1001294717|180.0:1001294717,1,1001294717,google_ocr_sku_parse,correct,yes,
1770339044281_0244_1026_07-019.jpg|Pallet_SKU|3770|1823|4082|1912,1770339044281_0244_1026_07-019.jpg,1770339044281_0244_1026_07-019.json,6,Pallet_SKU,1004815592,reviewed,,,3770,1823,4082,1912,research_outputs/golden_dataset_local_tests/crops/1770339044281_0244_1026_07-019/006_Pallet_SKU_3770_1823_4082_1912.jpg,research_outputs/golden_dataset_local_tests/label_overlays_expected_sku/1770339044281_0244_1026_07-019_labels.jpg,yes,1004815592,-10.0:1004815592|-5.0:1004815592|0.0:1004815592|5.0:1004815592|10.0:1004815592|180.0:1004815592,1,1004815592,google_ocr_sku_parse,correct,yes,
1770339044281_0244_1026_07-019.jpg|Other_SKU|2182|1611|2361|1659,1770339044281_0244_1026_07-019.jpg,1770339044281_0244_1026_07-019.json,8,Other_SKU,1001294717,reviewed,,,2182,1611,2361,1659,research_outputs/golden_dataset_local_tests/crops/1770339044281_0244_1026_07-019/008_Other_SKU_2182_1611_2361_1659.jpg,research_outputs/golden_dataset_local_tests/label_overlays_expected_sku/1770339044281_0244_1026_07-019_labels.jpg,yes,1001294717,-10.0:1001294717|-5.0:1001294717|0.0:1001294717|5.0:1001294717|10.0:1001294717|180.0:1001294717,1,1001294717,google_ocr_sku_parse,correct,yes,
1770339044281_0244_1031_07-020.jpg|RDC_SKU|330|1904|608|2010,1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.json,0,RDC_SKU,1010234413,reviewed,,Marked unreadable,330,1904,608,2010,research_outputs/golden_dataset_local_tests/crops/1770339044281_0244_1031_07-020/000_RDC_SKU_330_1904_608_2010.jpg,research_outputs/golden_dataset_local_tests/label_overlays_expected_sku/1770339044281_0244_1031_07-020_labels.jpg,yes,1006945675,-10.0:1005945675|-5.0:1006845673|0.0:1005945575|5.0:1005445575|10.0:1005945575|180.0:1006945575,1,1006945575,google_ocr_sku_parse_rot180_retry,incorrect,no,Marked unreadable
1770339044281_0244_1031_07-020.jpg|RDC_SKU|2383|1804|2650|1894,1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.json,5,RDC_SKU,1002883543,reviewed,,Blurry,2383,1804,2650,1894,research_outputs/golden_dataset_local_tests/crops/1770339044281_0244_1031_07-020/005_RDC_SKU_2383_1804_2650_1894.jpg,research_outputs/golden_dataset_local_tests/label_overlays_expected_sku/1770339044281_0244_1031_07-020_labels.jpg,yes,1002883543,-10.0:1002883543|-5.0:1002883543|0.0:1002883543|5.0:1002883543|10.0:1002883543|180.0:1002883543,1,1002883543,google_ocr_sku_parse,correct,yes,Blurry
1770339044281_0244_1031_07-020.jpg|Handwritte_SKU|2800|155|3160|287,1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.json,11,Handwritte_SKU,N/A,not_applicable,,Number is blocked off and crop is blurry,2800,155,3160,287,research_outputs/golden_dataset_local_tests/crops/1770339044281_0244_1031_07-020/011_Handwritte_SKU_2800_155_3160_287.jpg,research_outputs/golden_dataset_local_tests/label_overlays_expected_sku/1770339044281_0244_1031_07-020_labels.jpg,yes,,,0,,,not_applicable,n/a,Number is blocked off and crop is blurry
1770339044281_0244_1031_07-020.jpg|Handwritte_SKU|2791|60|3140|167,1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.json,13,Handwritte_SKU,N/A,not_applicable,,Crop is blurry,2791,60,3140,167,research_outputs/golden_dataset_local_tests/crops/1770339044281_0244_1031_07-020/013_Handwritte_SKU_2791_60_3140_167.jpg,research_outputs/golden_dataset_local_tests/label_overlays_expected_sku/1770339044281_0244_1031_07-020_labels.jpg,yes,,,0,,,not_applicable,n/a,Crop is blurry
1770339044281_0244_1031_07-020.jpg|RDC_SKU|5021|3395|5203|3479,1770339044281_0244_1031_07-020.jpg,1770339044281_0244_1031_07-020.json,18,RDC_SKU,N/A,not_applicable,,Crop is blurry,5021,3395,5203,3479,research_outputs/golden_dataset_local_tests/crops/1770339044281_0244_1031_07-020/018_RDC_SKU_5021_3395_5203_3479.jpg,research_outputs/golden_dataset_local_tests/label_overlays_expected_sku/1770339044281_0244_1031_07-020_labels.jpg,yes,1014307822,0.0:1014307822|180.0:1014307822,0,,,not_applicable,n/a,Crop is blurry
